-0.0057638,0.025023,190.02,0.0015781,-6.2075e-06,0.00028351
-9.9937,-19.99,190.02,0.001536,0.15001,0.15037
-40.007,-10.006,190.02,0.0513,0.050031,-0.049332
-0.028404,-19.984,180.03,-0.19845,-0.19969,0.050362
9.9906,20.009,180.04,-0.19854,-0.00013413,-0.099638
29.974,-19.982,180.03,0.15168,-0.050141,-0.099691
-0.037817,0.022287,180.02,0.051553,-0.24953,0.10045
9.9739,-9.9408,180.02,0.20191,-0.099954,-0.049578
-0.034043,20.009,170.02,0.10159,0.00016596,0.00043389
-29.989,29.998,170.02,-0.048735,-0.099842,0.00014888
-30.02,10.011,170.01,0.051386,-0.099814,-0.049545
0.024305,20.014,170.03,-0.19857,0.29972,0.050161
29.981,20.014,170.03,0.0015351,0.14998,0.00020842
9.9902,40.012,170.04,-0.29867,-0.099712,0.000206
-0.010335,-19.956,160.02,0.30178,0.099977,0.00033458
19.997,0.032755,160,0.30174,0.19984,-0.049895
9.9853,-19.976,160.03,0.0016327,-0.00012606,0.00022112
-19.979,-9.9978,160.03,-0.19858,0.099817,0.15021
9.9774,50.026,150.03,-0.14864,-0.099585,0.050077
19.953,-9.9633,150.04,0.0017883,-0.24934,0.15053
-10.01,30.001,150.04,-0.29858,-0.24979,-0.049424
39.992,-9.9892,140.04,-0.1484,-0.0003656,-0.1999
9.9898,0.040139,140.02,0.15175,-0.049843,0.10012
-20.006,-19.982,140.05,0.051436,0.09926,-0.34951
-0.016708,30,140.02,-0.19881,0.10026,0.20039
9.9802,10.045,130,0.25192,-0.050069,-0.099695
-39.997,-9.9921,130.02,-0.048706,0.09998,0.1002
-0.016579,20.029,130,0.15136,0.050587,0.30019
29.977,30.063,130,0.20205,0.10017,0.050102
-10.007,-39.975,130.03,0.1015,0.099518,-0.14971
-9.9903,10.016,130.04,-0.09869,0.2495,-0.24989
19.976,-19.97,120.04,-0.048267,-0.24953,0.10038
-10.008,0.0032928,110.05,-0.048688,0.1493,-0.39959
-30.017,-9.9856,100.02,-0.048707,0.049886,-0.049746
-10.023,-19.965,100.01,0.1517,-0.19974,0.00053079
-20.023,20.025,100.02,-0.19858,-0.14997,-0.099731
29.995,30.011,100.05,-0.29869,-0.049827,0.050234
-30.021,-19.952,90.01,0.2016,-0.20058,-0.34982
10.02,10.02,90.022,0.051488,0.29983,0.00017959
10.007,30.029,80.006,0.15166,0.15,4.7378e-05
-9.9797,-39.964,80.026,0.25172,0.24969,0.00032075
-40.009,-29.989,80.023,0.0013909,0.049694,-0.099687
-50.006,-9.9843,69.991,0.0010614,-0.099682,0.19997
-30.018,-9.9912,70.001,-0.098813,-0.1495,0.35018
19.99,10.038,60.054,-0.29811,-0.25019,-0.29974
9.9824,-29.986,50.023,-0.098407,-0.19966,0.15041
-20.001,0.042168,49.986,0.25159,-0.049616,0.2002
9.975,-9.9441,50.004,0.20203,-0.14984,0.00032159
20.004,0.016252,50.043,-0.29843,-0.15004,-0.049718
40.005,10.014,40.019,0.0016686,-0.049853,0.00027616
