   0.00,   0.00, 190.00,   0.00,   0.00,   0.00,
 -10.00, -20.00, 190.00,   0.00,   0.15,   0.15,
 -40.00, -10.00, 190.00,   0.05,   0.05,  -0.05,
   0.00, -20.00, 180.00,  -0.20,  -0.20,   0.05,
  10.00,  20.00, 180.00,  -0.20,   0.00,  -0.10,
  30.00, -20.00, 180.00,   0.15,  -0.05,  -0.10,
   0.00,   0.00, 180.00,   0.05,  -0.25,   0.10,
  10.00, -10.00, 180.00,   0.20,  -0.10,  -0.05,
   0.00,  20.00, 170.00,   0.10,   0.00,   0.00,
 -30.00,  30.00, 170.00,  -0.05,  -0.10,   0.00,
 -30.00,  10.00, 170.00,   0.05,  -0.10,  -0.05,
   0.00,  20.00, 170.00,  -0.20,   0.30,   0.05,
  30.00,  20.00, 170.00,   0.00,   0.15,   0.00,
  10.00,  40.00, 170.00,  -0.30,  -0.10,   0.00,
   0.00, -20.00, 160.00,   0.30,   0.10,   0.00,
  20.00,   0.00, 160.00,   0.30,   0.20,  -0.05,
  10.00, -20.00, 160.00,   0.00,   0.00,   0.00,
 -20.00, -10.00, 160.00,  -0.20,   0.10,   0.15,
  10.00,  50.00, 150.00,  -0.15,  -0.10,   0.05,
  20.00, -10.00, 150.00,   0.00,  -0.25,   0.15,
 -10.00,  30.00, 150.00,  -0.30,  -0.25,  -0.05,
  40.00, -10.00, 140.00,  -0.15,   0.00,  -0.20,
  10.00,   0.00, 140.00,   0.15,  -0.05,   0.10,
 -20.00, -20.00, 140.00,   0.05,   0.10,  -0.35,
   0.00,  30.00, 140.00,  -0.20,   0.10,   0.20,
  10.00,  10.00, 130.00,   0.25,  -0.05,  -0.10,
 -40.00, -10.00, 130.00,  -0.05,   0.10,   0.10,
   0.00,  20.00, 130.00,   0.15,   0.05,   0.30,
  30.00,  30.00, 130.00,   0.20,   0.10,   0.05,
 -10.00, -40.00, 130.00,   0.10,   0.10,  -0.15,
 -10.00,  10.00, 130.00,  -0.10,   0.25,  -0.25,
  20.00, -20.00, 120.00,  -0.05,  -0.25,   0.10,
 -10.00,   0.00, 110.00,  -0.05,   0.15,  -0.40,
 -30.00, -10.00, 100.00,  -0.05,   0.05,  -0.05,
 -10.00, -20.00, 100.00,   0.15,  -0.20,   0.00,
 -20.00,  20.00, 100.00,  -0.20,  -0.15,  -0.10,
  30.00,  30.00, 100.00,  -0.30,  -0.05,   0.05,
 -30.00, -20.00,  90.00,   0.20,  -0.20,  -0.35,
  10.00,  10.00,  90.00,   0.05,   0.30,   0.00,
  10.00,  30.00,  80.00,   0.15,   0.15,   0.00,
 -10.00, -40.00,  80.00,   0.25,   0.25,   0.00,
 -40.00, -30.00,  80.00,   0.00,   0.05,  -0.10,
 -50.00, -10.00,  70.00,   0.00,  -0.10,   0.20,
 -30.00, -10.00,  70.00,  -0.10,  -0.15,   0.35,
  20.00,  10.00,  60.00,  -0.30,  -0.25,  -0.30,
  10.00, -30.00,  50.00,  -0.10,  -0.20,   0.15,
 -20.00,   0.00,  50.00,   0.25,  -0.05,   0.20,
  10.00, -10.00,  50.00,   0.20,  -0.15,   0.00,
  20.00,   0.00,  50.00,  -0.30,  -0.15,  -0.05,
  40.00,  10.00,  40.00,   0.00,  -0.05,   0.00,
