Monday, December 01 04:00PM, 2008



Session #1

Time Stamp 	X-axis 		Y-axis 		Z-axis 		
4236106   	2300.280  	2902.251  	104.351   	
4236235   	2303.204  	2902.592  	99.386    	
4236334   	2304.872  	2902.824  	96.547    	
4236436   	2306.194  	2903.014  	94.213    	
4236538   	2307.513  	2903.174  	91.976    	
4236637   	2309.394  	2903.434  	88.783    	
4236736   	2312.833  	2903.824  	82.962    	
4236835   	2316.802  	2904.325  	76.113    	
4236937   	2320.096  	2904.747  	70.602    	
4237036   	2322.914  	2905.105  	65.746    	
4237135   	2325.373  	2905.417  	61.629    	
4237237   	2328.404  	2905.806  	56.368    	
4237336   	2330.606  	2906.058  	52.624    	
4237438   	2331.657  	2906.212  	50.811    	
4237537   	2332.339  	2906.289  	49.660    	
4237636   	2333.859  	2906.496  	47.042    	
4237735   	2335.705  	2906.739  	43.865    	
4237834   	2337.407  	2906.959  	40.945    	
4237936   	2339.910  	2907.240  	36.734    	
4238038   	2342.111  	2907.518  	32.964    	
4238137   	2344.107  	2907.759  	29.576    	
4238236   	2344.890  	2907.882  	28.186    	
4238335   	2345.550  	2907.953  	27.102    	
4238437   	2347.512  	2908.200  	23.724    	
4238536   	2350.149  	2908.546  	19.229    	
4238635   	2352.014  	2908.788  	16.061    	
4238737   	2353.597  	2908.962  	13.379    	
4238836   	2355.327  	2909.175  	10.416    	
4238938   	2357.305  	2909.434  	7.012     	
4239037   	2359.694  	2909.762  	2.911     	
4239136   	2362.379  	2910.056  	-1.564    	
4239235   	2364.362  	2910.309  	-4.942    	
4239334   	2366.197  	2910.529  	-8.080    	
4239436   	2367.803  	2910.742  	-10.847   	
4239535   	2369.419  	2910.942  	-13.637   	
4239637   	2371.551  	2911.206  	-17.285   	
4239736   	2373.748  	2911.465  	-20.991   	
4239835   	2375.523  	2911.698  	-24.042   	


Session #4

Time Stamp 	X-axis 		Y-axis 		Z-axis 		
4281376   	1836.515  	2737.759  	-336.331  	
4281475   	1836.514  	2737.759  	-336.332  	
4281574   	1836.515  	2737.760  	-336.330  	
4281676   	1836.517  	2737.759  	-336.329  	
4281775   	1836.516  	2737.759  	-336.329  	
4281877   	1836.519  	2737.759  	-336.330  	
4281976   	1836.520  	2737.759  	-336.330  	
